mun_key,name,prod,plant_id,dist_km,cost
cceres,C ceres,46565.5000,46,11.2340,6.0346
plasencia,Plasencia,20574.0000,29,5.7155,6.5842
navalmoral de la mata,Navalmoral de la Mata,8614.0000,27,7.2448,7.8885
coria,Coria,6448.0000,20,7.6267,9.3742
miajadas,Miajadas,5169.0000,36,2.7776,9.5279
trujillo,Trujillo,4911.0000,19,10.9589,11.2415
talayuela,Talayuela,4611.0000,27,4.0222,7.0828
moraleja,Moraleja,3999.0000,20,3.0866,8.2392
arroyo de la luz,Arroyo de la Luz,3258.5000,46,22.8085,8.9282
jaraz de la vera,Jara¡z de la Vera,3233.5000,22,4.7545,6.4234
valencia de alcntara,Valencia de Alc ntara,3089.0000,39,2.5945,9.4164
montehermoso,Montehermoso,2899.5000,25,3.9119,9.5157
casar de cceres,Casar de Cáceres,2439.5000,46,5.9938,4.7245
malpartida de plasencia,Malpartida de Plasencia,2313.5000,29,11.5054,8.0317
malpartida de cceres,Malpartida de Cáceres,2234.5000,46,14.9192,6.9559
hervs,Hervás,2063.0000,22,30.2172,12.7890
torrejoncillo,Torrejoncillo,1669.0000,29,36.4989,14.2801
jarandilla de la vera,Jarandilla de la Vera,1564.5000,22,3.3435,6.0706
alcuscar,Alcuéscar,1505.0000,41,9.2274,10.9385
losar de la vera,Losar de la Vera,1483.0000,22,6.8176,6.9391
madroera,Madroñera,1458.0000,19,15.5799,12.3967
valverde del fresno,Valverde del Fresno,1254.5000,31,47.3763,20.5482
garrovillas de alcontar,Garrovillas de Alconétar,1140.0000,46,28.0215,10.2315
aldeanueva de la vera,Aldeanueva de la Vera,1137.5000,22,8.3083,7.3118
cabezuela del valle,Cabezuela del Valle,1064.5000,22,5.5061,6.6113
brozas,Brozas,1061.5000,46,50.9591,15.9659
villanueva de la vera,Villanueva de la Vera,1054.0000,22,22.7405,10.9199
guadalupe,Guadalupe,1048.0000,45,29.2546,16.1078
logrosn,Logrosán,1045.0000,45,1.6342,9.2027
sierra de fuentes,Sierra de Fuentes,1042.5000,46,21.8591,8.6909
navaconcejo,Navaconcejo,1037.0000,22,8.5443,7.3708
ceclavn,Ceclavín,1027.0000,20,26.9120,14.1955
montnchez,Montánchez,1020.0000,41,2.7051,9.3080
almoharn,Almoharín,998.5000,36,13.6985,12.2581
aliseda,Aliseda,991.0000,46,32.4126,11.3293
galisteo,Galisteo,984.0000,29,16.0670,9.1721
madrigalejo,Madrigalejo,976.5000,45,40.5956,18.9431
cilleros,Cilleros,934.0000,31,36.7426,17.8898
zarza de granadilla,Zarza de Granadilla,932.0000,22,12.1692,8.2771
madrigal de la vera,Madrigal de la Vera,909.5000,22,32.2220,13.2903
