mun,transport,total,prod,treatment
peraleda del zaucejo,8.806,23.225941681576458,304.0,14.419941681576459
perales del puerto,8.78331053434118,17.599809319196197,485.0,8.816498784855018
pescueza,4.3084999999999996,12.882043261959872,78.5,8.573543261959873
pesga la,14.619500000000002,24.415001815897725,561.5,9.795501815897723
piedras albas,6.8565,25.45667337664708,103.5,18.600173376647078
pinofranqueado,8.704230613213344,17.919679583566687,843.5,9.215448970353343
piornal,12.051855946254886,17.394370031321078,768.5,5.342514085066192
plasencia,2.004460977510744,6.91325070919627,20574.0,4.908789731685527
plasenzuela,9.594848378312225,18.238892064114854,269.0,8.644043685802629
portaje,2.8936068874335703,13.764954132988498,207.5,10.871347245554928
portezuelo,5.292239149764331,16.267380825985118,134.0,10.975141676220787
pozuelo de zarzn,4.1194999999999995,12.857498253187355,282.0,8.737998253187357
puebla de alcocer,7.753677993883227,16.348389566512658,636.0,8.594711572629432
puebla de la calzada,9.414134841249957,16.410535617358157,2951.5,6.996400776108199
puebla de la reina,8.414,15.553509541086719,430.0,7.139509541086719
puebla de obando,15.353929102413735,18.16501080835613,994.0,2.811081705942394
puebla de sancho prez,5.911041457645234,13.005922207692825,1449.5,7.094880750047591
puebla del maestre,8.5575,15.235878921613915,388.5,6.678378921613916
puebla del prior,1.4,8.539509541086717,272.5,7.139509541086717
pueblonuevo del guadiana,6.1739999999999995,8.957313374885233,1009.0,2.7833133748852337
puerto de santa cruz,5.7015,14.078492603085902,196.5,8.376992603085903
quintana de la serena,1.2347610925637897,9.428618738880333,2534.5,8.193857646316543
rebollar,9.51822009535046,14.843265310805675,118.5,5.325045215455216
reina,3.913,10.591378921613916,100.5,6.678378921613916
rena,6.192894405888187,9.809082700005272,334.5,3.6161882941170846
retamal de llerena,12.578999999999999,20.947655428969014,250.5,8.368655428969015
ribera del fresno,0.30649032289529593,7.430914437754365,1733.0,7.124424114859069
riolobos,7.82033631153285,13.795635524982634,628.5,5.975299213449784
risco,4.1566411797507525,12.771538104792393,83.0,8.614896925041641
robledillo de gata,3.098844534612017,11.92288403084941,62.0,8.824039496237393
robledillo de la vera,4.2583059710591336,12.21241140443371,152.5,7.954105433374577
robledillo de trujillo,8.197000000000001,17.036143537535207,210.0,8.839143537535206
robledollano,3.3284999999999996,23.77142980032651,201.0,20.44292980032651
roca de la sierra la,11.950069887472225,14.737910117414962,763.0,2.787840229942738
romangordo,7.121651685520395,13.486443461024672,112.0,6.364791775504277
rosalejo,11.124430576646148,19.199975714976027,642.0,8.075545138329879
ruanes,7.251999999999999,16.091143537535203,34.0,8.839143537535204
salorino,11.424463457724832,19.61767957844002,344.5,8.193216120715187
salvalen,13.895,20.551468914895406,1024.5,6.656468914895406
salvatierra de los barros,9.457671028651374,13.684733685208705,894.0,4.227062656557331
salvatierra de santiago,6.01787435111575,14.847468809740478,151.0,8.82959445862473
san martn de trevejo,16.013455242466943,24.837494738704336,458.0,8.824039496237393
