origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Badajoz,Villamiel,9.2782426,195937.8805963,32.2806376,195979.4394766
Badajoz,Villar del Pedroso,9.2782426,241479.8666142,3.1719064,241492.3167633
Badajoz,Belvís de Monroy,9.2782426,206836.0367635,84.5629698,206929.877976
Badajoz,Casas del Castañar,9.2782426,187273.8948602,21.2196256,187304.3927285
Badajoz,Torre de Santa María,9.2782426,107555.9323684,12.6449361,107577.8555471
Badajoz,Guijo de Granadilla,9.2782426,192456.6566321,5.7857202,192471.7205949
Badajoz,Torremenga,9.2782426,199931.6584708,9.6443197,199950.5810331
Badajoz,Zarza de Montánchez,9.2782426,115916.0078147,8.3082223,115933.5942796
Badajoz,Aceituna,9.2782426,187510.3681892,29.2935773,187548.9400091
Badajoz,Torrejón el Rubio,9.2782426,143927.0535256,23.593082,143959.9248503
Badajoz,Torrequemada,9.2782426,106110.0706912,2.2791585,106121.6280924
Badajoz,Jaraicejo,9.2782426,166939.4179027,3.3440844,166952.0402298
Badajoz,Valverde de la Vera,9.2782426,233090.4473337,12.8447894,233112.5703657
Badajoz,Torre de Don Miguel,9.2782426,199567.2267425,61.5565068,199638.0614919
Badajoz,Pozuelo de Zarzón,9.2782426,180155.8482806,0.5612514,180165.6877746
Badajoz,Villa del Campo,9.2782426,179142.2962723,6.6386665,179158.2131814
Badajoz,Plasenzuela,9.2782426,126588.1558405,17.6502929,126615.0843761
Badajoz,Bohonal de Ibor,9.2782426,215662.3986287,12.9426967,215684.6195681
Badajoz,Berzocana,9.2782426,172316.5886627,59.4128429,172385.2797482
Badajoz,Casares de las Hurdes,9.2782426,234434.4427643,14.9710026,234458.6920096
Badajoz,Hernán-Pérez,9.2782426,192183.3721716,1.3933393,192194.0437535
Badajoz,Villanueva de la Sierra,9.2782426,186942.8718793,87.6368495,187039.7869714
Badajoz,Cadalso,9.2782426,196709.3588061,3.7844448,196722.4214935
Badajoz,Navalvillar de Ibor,9.2782426,204812.6324195,59.2313695,204881.1420317
Badajoz,Arroyomolinos de la Vera,9.2782426,189228.1164034,29.1517936,189266.5464397
Badajoz,Cedillo,9.2782426,137157.365902,59.293358,137225.9375026
Badajoz,"Garganta, La",9.2782426,245789.9128093,58.9667348,245858.1577867
Badajoz,Ibahernando,9.2782426,130055.2309389,3.7161413,130068.2253229
Badajoz,Calzadilla,9.2782426,166574.8938656,4.4984313,166588.6705396
Badajoz,Barrado,9.2782426,189354.262905,28.4490615,189391.9902092
Badajoz,Casillas de Coria,9.2782426,165531.03835,21.1042482,165561.4208408
Badajoz,Villasbuenas de Gata,9.2782426,202714.3531587,1.5538653,202725.1852666
Badajoz,Valdelacasa de Tajo,9.2782426,237019.0994114,5.6624486,237034.0401027
Badajoz,Abertura,9.2782426,126829.3084257,29.195589,126867.7822573
Badajoz,Palomero,9.2782426,200405.513062,22.1770581,200436.9683627
Badajoz,Serrejón,9.2782426,194337.2186765,8.2841891,194354.7811082
Badajoz,Hinojal,9.2782426,120642.9004284,37.0527451,120689.2314161
Badajoz,Gargantilla,9.2782426,199074.5829495,110.0352666,199193.8964587
Badajoz,Santibáñez el Alto,9.2782426,199294.70221,30.9520415,199334.9324941
Badajoz,Cabañas del Castillo,9.2782426,187269.2746974,142.7077805,187421.2607205
Badajoz,Robledillo de Trujillo,9.2782426,121513.1561715,10.8619265,121533.2963406
Badajoz,Cabezabellosa,9.2782426,188398.7949693,8.9638967,188417.0371087
Badajoz,Morcillo,9.2782426,171125.2372635,23.0749804,171157.5904865
Badajoz,Portaje,9.2782426,154439.0585482,33.5235668,154481.8603576
Badajoz,Guijo de Santa Bárbara,9.2782426,219008.5659697,0.9369335,219018.7811458
