municipio,poblacion,km2,densidad,provincia,planta_id,planta_municipio,distancia_km,produccion_t,tkm,C_trans,C_trat,C_fix_unit,C_tot
Nava de Santiago. La,1089,45.03,24.18,Badajoz,14,Mérida,36.04,544.5,19622.85,12.61,4.03,3.68,16.65
Montemolín,1534,202.72,7.57,Badajoz,10,Llerena,28.42,767.0,21801.16,9.95,6.66,6.31,16.61
Llera,947,71.5,13.24,Badajoz,1,Ribera del Fresno,23.14,473.5,10957.59,8.1,8.5,8.15,16.6
Valverde de Llerena,714,41.22,17.32,Badajoz,10,Llerena,28.31,357.0,10106.75,9.91,6.66,6.31,16.57
Berlanga,2484,127.79,19.44,Badajoz,10,Llerena,28.29,1242.0,35139.6,9.9,6.66,6.31,16.56
Monterrubio de la Serena,2710,314.95,8.6,Badajoz,16,Monterrubio de la Serena,6.05,1355.0,8196.34,2.12,14.4,14.05,16.51
Pinofranqueado,1687,146.84,11.49,CÂ ceres,21,Nuñomoral,20.36,843.5,17174.73,7.13,9.38,9.03,16.5
Zorita,1673,186.96,8.95,CÂ ceres,45,Logrosán,22.32,836.5,18672.72,7.81,8.69,8.34,16.5
Torre de Miguel Sesmero,1257,57.99,21.68,Badajoz,13,Olivenza,28.34,628.5,17809.13,9.92,6.59,6.24,16.5
Villagonzalo,1348,40.82,33.02,Badajoz,14,Mérida,35.57,674.0,23974.17,12.45,4.03,3.68,16.48
Santa Cruz de Paniagua,315,83.81,3.76,CÂ ceres,25,Montehermoso,22.38,157.5,3524.7,7.83,8.64,8.29,16.47
Fuente de Cantos,5039,251.77,20.01,Badajoz,10,Llerena,27.81,2519.5,70060.67,9.73,6.66,6.31,16.39
Conquista de la Sierra,210,41.77,5.03,CÂ ceres,19,Trujillo,21.44,105.0,2251.39,7.5,8.81,8.46,16.32
Benquerencia,98,13.31,7.36,CÂ ceres,41,Montánchez,21.36,49.0,1046.8,7.48,8.8,8.45,16.28
Alcántara,1653,551.99,2.99,CÂ ceres,44,Brozas,18.09,826.5,14954.41,6.33,9.9,9.55,16.24
Puebla de la Calzada,5903,14.25,414.25,Badajoz,4,Talavera la Real,26.75,2951.5,78938.17,9.36,6.83,6.48,16.19
Carmonita,581,38.89,14.94,Badajoz,41,Montánchez,20.97,290.5,6090.49,7.34,8.8,8.45,16.14
Higuera de la Serena,1043,58.4,17.86,Badajoz,6,Quintana de la Serena,21.66,521.5,11297.79,7.58,8.55,8.2,16.13
Cumbre. La,982,113.52,8.65,CÂ ceres,19,Trujillo,20.89,491.0,10257.97,7.31,8.81,8.46,16.12
Ruanes,68,15.11,4.5,CÂ ceres,41,Montánchez,20.72,34.0,704.54,7.25,8.8,8.45,16.05
Corte de Peleas,1307,42.32,30.88,Badajoz,4,Talavera la Real,26.15,653.5,17090.19,9.15,6.83,6.48,15.99
