origin,beta_max,beta_min,beta_mean,beta_median,n_dest,alpha,alpha_near,municipio,misallocated,utm_x,utm_y
Carcaboso,1.7238035966037026,1.110385475049775,1.278878812341965,1.2364832539534136,42,1.5524370908457985,1.4209682970773085,Carcaboso,0,226054.750820244,4438291.27407425
"Zarza, La",1.732044161092756,1.1157506048056602,1.310588931016107,1.2598705748315882,42,1.5523578061554721,1.1149398914200026,,0,,
Casas de Don Antonio,1.6790860677182275,1.0844191731167936,1.3205009049146348,1.29682910911826,42,1.548373644936825,1.0157051671707396,Casas de Don Antonio,0,216106.262150414,4348232.51944914
Navalvillar de Pela,1.6597160623373304,1.076191097141105,1.341397091361466,1.3517501283243478,42,1.5422131503841239,1.2320584952764677,Navalvillar de Pela,0,286648.544033966,4329925.74332166
Casas de Don Pedro,1.6425513443959376,1.0680353523267,1.3442740771270754,1.3416480616261213,42,1.5379185162903666,1.2189248675126376,Casas de Don Pedro,0,298747.997151436,4330925.78555651
Santa Marta de Magasca,1.7947466558571903,1.1673254043390904,1.3967280729005704,1.3772247847695507,42,1.537486162115464,1.4113941585817902,Santa Marta de Magasca,0,233700.427075126,4378235.95632634
Aceituna,1.6949668070075847,1.1051148588973283,1.311774311323557,1.2712128527783761,42,1.533747187779924,1.533747187779924,Aceituna,0,216351.079749259,4449724.48146156
Cristina,1.7039699838168938,1.111366847058708,1.2798110402902463,1.249676834340127,42,1.533220095890517,1.165241778376922,Cristina,0,231126.84850758,4303386.30007753
"Parra, La",1.6526221679653026,1.0790337243753707,1.2054328245970989,1.1785792673824491,42,1.5315760116042432,1.4652130185499344,,0,,
Torremayor,1.6162676087492773,1.0584494866289889,1.2868752147445452,1.2371706133451492,42,1.527014400939302,1.527014400939302,Torremayor,0,193403.41925182,4311784.94700223
Alange,1.720085750855722,1.1264521821968467,1.2852234480440516,1.238469123161355,42,1.5269940242835254,1.1339902738077015,Alange,0,217966.889248342,4298087.44004889
Villa del Rey,1.790056854896287,1.172522345067379,1.311077974705775,1.2801039304649748,42,1.5266718475999888,1.4682598758042815,Villa del Rey,0,172364.458150349,4397107.17765371
