municipio,voronoi_plant_raw,voronoi_plant,d_euclidean,network_plant_raw,network_plant,d_network,beta_assigned,misallocated,_norm,beta_mum_mean,beta_mum_std,beta_mum_min,beta_mum_max,n_pairs,utm_x,utm_y,bym2_log_beta_pred,bym2_beta_pred
Llera,2,1,19428.81739804233,2,1,23141.6940764,1.191101527297888,0,llera,1.2633877445402313,0.0923548759950261,1.0718504953617034,1.6734639536597329,300.0,233412.833084715,4259991.49764378,0.4226906509371316,1.526062137047288
San Pedro de MÃ©rida,14,14,18133.592609592048,14,14,23262.7659078,1.2828547772433574,0,san pedro de marida,,,,,,223983.262323626,4316084.95195536,0.4543515614525279,1.5751516627521407
Calzadilla de los Barros,5,5,15411.537742307508,5,5,32046.9167302,2.079410715922611,0,calzadilla de los barros,1.2307214057830145,0.1058265722537206,1.0593798914746786,1.7754279451513812,300.0,210057.669460203,4244573.87193963,0.5046412237806571,1.6563911400914606
Puebla de la Reina,12,1,14952.330523197825,1,1,24039.8678423,1.6077672845047997,0,puebla de la reina,1.278233584956956,0.1050676347932154,1.1071168987960942,1.909024432079909,300.0,230165.878876168,4284206.44688934,0.46246304123419046,1.5879804334344292
Acedera,17,3,18486.95848056796,17,3,33910.7459662,1.834306384246187,0,acedera,1.3802101657407264,0.5093734611790066,1.057110264796184,9.558853850001736,300.0,275659.04898293,4328475.72110089,0.4771372260803471,1.6114545624755525
TÃ¡liga,13,13,18293.310726496024,13,13,23137.0963382,1.264784526110314,0,taliga,,,,,,150141.420061748,4272147.56876966,0.41072773786839756,1.507914752579825
Valencia del Mombuey,8,8,44390.7985674346,5,5,69191.165712,1.5586826086692462,1,valencia del mombuey,1.239682892440969,0.0724426806974947,1.0713198069205057,1.7100336804415122,300.0,139569.318114953,4240931.60676457,0.44403795120788464,1.5589896500395262
Puebla del Maestre,10,10,16345.965390280431,10,10,24454.3008906,1.4960450671907646,0,puebla del maestre,1.2743783001004214,0.1428596028037802,1.1082691749760007,2.2965969410899514,300.0,230154.15928455,4219866.44339936,0.4495873087835839,1.5676650903610407
Manchita,3,3,17977.866844237047,3,3,45832.348449,2.549376344040057,0,manchita,1.3977084047111024,0.2076886577275571,1.073672081790682,2.742833713284476,300.0,237735.977024441,4300746.69445125,0.5339599779134749,1.7056733814778537
Morera. La,9,9,16862.27908971044,9,9,23296.1273983,1.3815527114905584,0,la morera,1.2358668080703616,0.1163704302369723,1.0330589418430194,1.8217226805564484,300.0,181743.226267398,4272859.92165057,0.4330330222330289,1.5419271377371866
Fuente del Arco,10,10,14206.59844307657,10,10,16862.8128994,1.1869704748090426,0,fuente del arco,1.2422155765434062,0.1204969323477317,1.0471024192652505,2.4328990981689134,300.0,246350.817688772,4226678.3835443,0.42714851238305074,1.5328802965260755
Don Ãlvaro,14,14,12321.334769283168,14,14,36786.4257977,2.985587721340694,0,don alvaro,,,,,,215924.624506303,4305138.48413944,0.5634549206942114,1.756731395420415
Alconera,5,5,4382.439522363505,5,5,7442.0989167,1.6981635179956531,0,alconera,1.2879065607960405,0.1541909861146828,1.142031125660738,2.8325884110325075,300.0,196554.636944378,4255829.19741158,0.47874946060156137,1.6140547006035573
Nogales,9,9,26026.82218954756,9,9,32961.7894842,1.2664546306939286,0,nogales,1.2497351491733268,0.1178649255620155,1.0330589418430194,2.015286909457124,300.0,173664.497412427,4277680.81260759,0.41765268620077256,1.5183932238928104
Helechosa de los Montes,11,11,40521.1102783511,11,11,86494.8937622,2.134563766097272,0,helechosa de los montes,1.9062733917888883,0.5204202496217702,1.3442813270386889,4.483608769480427,300.0,335556.230971104,4353315.35167669,0.5230138491494265,1.68710467415015
Valverde de Llerena,10,10,18063.413333779947,10,10,28310.2222079,1.56726869306355,0,valverde de llerena,1.2515344360558325,0.0951707525677469,1.0846575900582558,2.1323117039929587,300.0,253110.484706801,4233428.23321664,0.45191613276714543,1.5713201607775742
Palomas,12,1,15724.087577468328,1,1,20293.7016081,1.290612349245603,0,palomas,1.266421227392344,0.1009495187101281,1.1071168987960942,1.750907558632248,300.0,227488.109463734,4287388.78472634,0.4378457434427001,1.549365889136858
Trasierra,10,10,4863.387121293103,10,10,6913.3958795,1.4215187290420406,0,trasierra,1.2607017011724615,0.1071585446429743,1.075120032007704,2.1671291696465187,300.0,237821.182993814,4231358.21735097,0.45052183660649975,1.569130801772372
