origin_id,destination_id,total_cost
2,Trasierra,58865.7802787
2,Valencia de las Torres,29683.9459463
2,Garlitos,143828.9162501
2,Rena,81271.0136940
2,Malpartida de la Serena,65652.8733267
2,Peraleda del Zaucejo,67003.4517815
2,Magacela,80976.9601484
2,Entrín Bajo,54540.7768159
2,Villarta de los Montes,239640.1716018
2,Carmonita,86749.1244823
2,Cristina,40840.0976543
2,Hinojosa del Valle,10362.2552379
2,Garbayuela,149626.9175270
2,Puebla del Prior,3995.5533892
2,Retamal de Llerena,41965.0097258
2,Mengabril,60925.7280576
2,Malcocinado,85032.0600677
2,Valle de Matamoros,70282.1103431
2,Zarza-Capilla,122177.5902436
2,Higuera de Llerena,32754.7932988
2,Baterno,158451.6338124
2,Atalaya,38647.0914587
2,Valverde de Burguillos,39923.7823622
2,Orellana de la Sierra,113234.7204886
2,"Lapa. La",34657.3487220
2,Tamurejo,156680.5090207
2,Aljucén,71127.7597417
2,Sancti-Spíritus,136326.5724603
2,Reina,60931.1842308
2,Casas de Reina,58098.6874140
2,Capilla,130724.4173396
2,Risco,138619.1158567
2,"Carrascalejo. El",67171.4457071
2,C ceres,137646.2505708
2,Plasencia,199082.7389371
2,Navalmoral de la Mata,197378.7442978
2,Coria,188098.2499878
2,Miajadas,93492.5536523
2,Trujillo,130069.9084691
2,Talayuela,220952.5064632
2,Moraleja,203275.0654280
2,Arroyo de la Luz,136887.0131335
2,Jara¡z de la Vera,212078.2990157
2,Valencia de Alc ntara,173579.3536566
2,Montehermoso,213004.1862762
2,Casar de Cáceres,132653.3550334
2,Malpartida de Plasencia,200166.2741106
2,Malpartida de Cáceres,128997.7102770
2,Hervás,265455.3600772
2,Torrejoncillo,200763.4804511
2,Jarandilla de la Vera,227469.0659591
2,Alcuéscar,87627.3946768
2,Losar de la Vera,228995.6152134
2,Madroñera,131944.9293407
2,Valverde del Fresno,265957.8650327
2,Garrovillas de Alconétar,155355.0801804
2,Aldeanueva de la Vera,222286.5770811
2,Cabezuela del Valle,230893.3930013
2,Brozas,165037.6907304
2,Villanueva de la Vera,240180.6842411
2,Guadalupe,152345.9368890
2,Logrosán,132478.9631398
2,Sierra de Fuentes,129552.6432424
2,Navaconcejo,227581.8675888
2,Ceclavín,194795.0898332
2,Montánchez,97202.4736242
2,Almoharín,99768.9241720
2,Aliseda,139713.2776627
2,Galisteo,200905.6129456
2,Madrigalejo,131748.5436058
2,Cilleros,255324.1986210
2,Zarza de Granadilla,227566.7515184
2,Madrigal de la Vera,249662.2130186
2,Cañamero,144611.3442653
2,Serradilla,187721.9796408
2,Torreorgaz,121909.7975249
2,Pinofranqueado,234298.7025877
2,Zorita,111727.8548955
2,Gata,236728.9509148
2,Alcántara,181000.2302104
2,Guijo de Galisteo,211122.6817877
2,Piornal,230152.9268826
2,Ahigal,223520.2191463
2,Peraleda de la Mata,210393.0130415
2,Navas del Madro¤o,155803.8503859
2,Nuñomoral,260130.7781585
2,Valdefuentes,105634.9875588
2,Zarza la Mayor,205075.7707876
2,Casatejada,190543.0848305
2,Casar de Palomero,242286.8716429
2,Jerte,236815.3625272
2,Almaraz,181800.8615518
2,Majadas,199502.4662879
2,Cañaveral,163304.5113215
2,Rosalejo,217439.8464352
2,Caminomorisco,238809.9515855
2,Riolobos,185613.1081550
2,Casta¤ar de Ibor,180786.9410286
2,Tornavacas,243896.2216596
2,Torrecillas de la Tiesa,150841.7833810
2,"Pesga. La",244945.1687256
2,Carcaboso,205367.0234898
2,Garganta la Olla,220692.4598583
2,Torremocha,114822.2933069
2,Eljas,266921.9705325
2,Campo Lugar,98194.5577036
2,Al¡a,162487.0072499
2,Arroyomolinos,95364.1263518
2,Monroy,163788.1805990
2,"Torno. El",221009.6896520
2,"Cumbre. La",124608.5211006
2,Hoyos,244365.1849884
2,Mohedas de Granadilla,233179.9244888
2,Perales del Puerto,244029.7853963
2,Talav n,159636.1718967
2,San Martín de Trevejo,264970.3483072
2,Cuacos de Yuste,218645.9571782
2,Tejeda de Tiétar,224361.1644820
2,Acehúche,181376.0381701
2,Escurial,110467.8425405
2,Garciaz,133544.8683480
2,Membrío,172956.8308909
2,Deleitosa,169728.3084782
2,Santibáñez el Bajo,227253.9774447
2,Saucedilla,186383.6037872
2,Aldeanueva del Camino,229081.1966338
2,Albalá,99250.5906493
2,Aldeacentenera,148580.3644170
2,Casas del Monte,224419.9982496
2,Valdeobispo,210181.3262485
2,Holguera,190179.4320357
2,Mirabel,189090.1233829
2,Aldea del Cano,99414.2178859
2,Baños de Montemayor,273594.9408765
2,Navezuelas,166073.8623236
2,Casas de Millán,167392.6140549
2,Salorino,165916.0961257
2,Torrecilla de los Ángeles,224562.9288813
2,Acebo,246263.3530193
2,Santiago de Alcántara,195001.3662797
2,Pasarón de la Vera,220501.8344200
2,Villamiel,256983.2496903
2,Villar del Pedroso,209579.5884145
2,Belvís de Monroy,201330.6489646
2,Casas del Castañar,219785.3937320
2,Torre de Santa María,102370.3374969
2,Guijo de Granadilla,224694.2036819
2,Torremenga,214394.9937216
2,Zarza de Montánchez,111044.4902431
2,Aceituna,220355.5904273
2,Torrejón el Rubio,173413.9239453
2,Torrequemada,118664.7065905
2,Jaraicejo,172685.1326499
2,Valverde de la Vera,237086.6531863
2,Torre de Don Miguel,232791.6235788
2,Pozuelo de Zarzón,212587.7889063
2,Villa del Campo,211579.5790357
2,Plasenzuela,123680.1469633
2,Bohonal de Ibor,202966.6785256
2,Berzocana,150136.1732326
2,Casares de las Hurdes,267871.8898744
2,Hernán-Pérez,224513.9473126
2,Villanueva de la Sierra,219465.8240938
2,Cadalso,229105.5424385
2,Navalvillar de Ibor,173790.1285934
2,Arroyomolinos de la Vera,221678.4649513
2,Cedillo,216490.8626959
2,"Garganta. La",279938.3122655
2,Ibahernando,124430.6916698
2,Calzadilla,199029.3940416
2,Barrado,221609.5218910
2,Casillas de Coria,197919.9265260
2,Villasbuenas de Gata,235113.6702780
2,Valdelacasa de Tajo,217518.5137678
2,Abertura,104570.8071684
2,Palomero,232732.7918257
2,Serrejón,188599.8118518
2,Hinojal,152954.6756290
2,Gargantilla,231251.2057524
2,Santibáñez el Alto,230231.4207821
2,Cabañas del Castillo,165091.7628466
2,Robledillo de Trujillo,115908.6406711
2,Cabezabellosa,220928.4512420
2,Morcillo,203270.2478970
2,Portaje,186688.4656720
2,Guijo de Santa Bárbara,231912.6370143
2,Robledollano,183475.4001244
2,Puerto de Santa Cruz,113012.7471680
2,Herreruela,156914.9512459
2,Valdastillas,223126.3839433
2,Cabrero,221335.5636604
2,Herguijuela,123690.5908601
2,Talaveruela de la Vera,235961.1901885
2,"Granja. La",225068.9453743
2,"Aldea del Obispo. La",148525.7667766
2,Casas de Don Gómez,196365.5217496
2,Aldehuela de Jerte,209555.3234479
2,"Gordo. El",215614.8740138
2,Carrascalejo,202328.0175590
